"","ENSEMBLE_ID","symbol","id_symbol"
"3376","ENSG00000106976","DNM1","ENSG00000106976;DNM1"
"15933","ENSG00000185305","ARL15","ENSG00000185305;ARL15"
"12309","ENSG00000168273","SMIM4","ENSG00000168273;SMIM4"
"17609","ENSG00000198081","ZBTB14","ENSG00000198081;ZBTB14"
"4445","ENSG00000115539","PDCL3","ENSG00000115539;PDCL3"
"9709","ENSG00000154079","SDHAF4","ENSG00000154079;SDHAF4"
"7003","ENSG00000135074","ADAM19","ENSG00000135074;ADAM19"
"12430","ENSG00000168806","LCMT2","ENSG00000168806;LCMT2"
"9148","ENSG00000148950","IMMP1L","ENSG00000148950;IMMP1L"
"33775","ENSG00000236924","ENSG00000236924","ENSG00000236924;ENSG00000236924"
"11089","ENSG00000163684","RPP14","ENSG00000163684;RPP14"
"16082","ENSG00000185909","KLHDC8B","ENSG00000185909;KLHDC8B"
"17119","ENSG00000196544","BORCS6","ENSG00000196544;BORCS6"
"19824","ENSG00000204396","VWA7","ENSG00000204396;VWA7"
"17268","ENSG00000197044","ZNF441","ENSG00000197044;ZNF441"
"758","ENSG00000056050","HPF1","ENSG00000056050;HPF1"
"1005","ENSG00000067221","STOML1","ENSG00000067221;STOML1"
"1228","ENSG00000073536","NLE1","ENSG00000073536;NLE1"
"5760","ENSG00000125945","ZNF436","ENSG00000125945;ZNF436"
"3847","ENSG00000111110","PPM1H","ENSG00000111110;PPM1H"
"20365","ENSG00000206530","CFAP44","ENSG00000206530;CFAP44"
"8113","ENSG00000141497","ZMYND15","ENSG00000141497;ZMYND15"
"15236","ENSG00000182484","WASH6P","ENSG00000182484;WASH6P"
"8518","ENSG00000144134","RABL2A","ENSG00000144134;RABL2A"
"16172","ENSG00000186222","BLOC1S4","ENSG00000186222;BLOC1S4"
"9986","ENSG00000156504","PABIR2","ENSG00000156504;PABIR2"
"7336","ENSG00000136824","SMC2","ENSG00000136824;SMC2"
"12248","ENSG00000168005","SPINDOC","ENSG00000168005;SPINDOC"
"17619","ENSG00000198105","ZNF248","ENSG00000198105;ZNF248"
"6454","ENSG00000131480","AOC2","ENSG00000131480;AOC2"
"24683","ENSG00000223509","WHAMMP1","ENSG00000223509;WHAMMP1"
"8752","ENSG00000145860","RNF145","ENSG00000145860;RNF145"
"14171","ENSG00000176928","GCNT4","ENSG00000176928;GCNT4"
"695","ENSG00000051596","THOC3","ENSG00000051596;THOC3"
"11206","ENSG00000164048","ZNF589","ENSG00000164048;ZNF589"
"54023","ENSG00000277149","TYW1B","ENSG00000277149;TYW1B"
"48095","ENSG00000265399","ENSG00000265399","ENSG00000265399;ENSG00000265399"
"16611","ENSG00000188130","MAPK12","ENSG00000188130;MAPK12"
"23307","ENSG00000216588","IGSF23","ENSG00000216588;IGSF23"
"10642","ENSG00000161920","MED11","ENSG00000161920;MED11"
"15943","ENSG00000185345","PRKN","ENSG00000185345;PRKN"
"6250","ENSG00000130347","RTN4IP1","ENSG00000130347;RTN4IP1"
"14982","ENSG00000181123","ENSG00000181123","ENSG00000181123;ENSG00000181123"
"1151","ENSG00000071243","ING3","ENSG00000071243;ING3"
"12076","ENSG00000167393","PPP2R3B","ENSG00000167393;PPP2R3B"
