S1	S2	S5	S6	S7	S8	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
984	1179	795	1723	1290	862	1070	847	1366	1238	1103	1169	785	1050	2126	678
718	747	624	1354	1229	745	715	618	1016	982	810	839	648	900	1567	546
8	7	7	3	8	9	3	4	9	7	13	8	6	1	4	3
7934	8724	6658	13883	10904	7501	8196	6350	11032	11090	11050	10767	8619	11033	16591	6678
57	84	53	130	86	49	74	53	135	101	98	110	35	54	174	53
222	202	179	370	396	211	389	339	1029	1082	311	324	199	226	479	196
1654	1815	1682	3577	2232	1436	1724	1400	1869	1972	2471	2236	1564	2255	4251	1513
1861	2026	1638	3631	2802	1902	1880	1600	2593	2402	2562	2558	1619	2108	4416	1712
1549	1477	1388	3006	2592	1790	1680	1383	2273	2279	2212	2123	953	1341	3511	1300
12	5	7	16	3	4	7	14	8	8	7	7	4	3	6	5
463	595	474	909	661	435	569	383	699	743	698	621	589	803	1292	528
363	454	272	557	586	395	531	394	1217	1360	437	326	181	212	767	308
1777	1915	1607	3555	4725	2830	1813	1604	2161	2382	2590	2432	1431	2291	4583	1667
2	1	0	0	4	0	0	0	1	2	0	0	0	8	1	0
1443	1416	1297	2663	1620	1003	1413	1184	1477	1681	1737	1774	1229	1475	2937	1264
831	1003	716	1659	1338	996	988	815	1214	1176	1306	1307	753	997	2115	866
1584	1549	1451	3171	1346	1074	1478	1327	413	383	1042	1414	140	156	3481	1190
534	603	435	903	712	456	674	492	710	644	703	644	475	678	1004	400
306	417	234	624	478	420	377	407	715	717	390	482	173	278	924	226
21	35	27	44	17	36	42	38	48	53	44	57	21	50	131	41
1385	1703	1234	2303	2166	1633	1559	1289	1464	1345	1591	1810	805	1451	2683	1031
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	11	30	34	38	20	40	42	58	116	25	16	6	15	23	18
982	1233	855	1758	1450	934	1088	1030	1450	1500	1467	1516	1202	1492	2347	925
1345	1772	1101	2289	1517	972	1401	1271	1742	1621	1782	1828	1062	1348	3365	1243
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301	307	299	495	580	392	324	292	440	440	421	372	216	403	687	286
1170	1567	1088	2260	2114	1309	1408	1160	1947	1775	2173	2124	2508	3448	3044	1203
5103	6228	4024	8289	4851	3154	4911	4291	3713	3623	6673	6843	2982	4329	9955	4112
11590	13211	9856	20917	16271	9722	11671	9013	12469	12606	13301	13998	10954	14402	22254	8190
5	6	9	11	22	7	5	9	3	16	5	9	8	7	28	10
0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1
6	7	18	16	42	21	13	3	2	4	11	12	3	2	24	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1737	2007	1633	3260	1514	1108	1803	1499	1402	1324	2538	2220	1480	2266	6045	2514
1494	1461	1290	3091	2502	1614	1816	1437	2501	2422	2214	2422	1556	2017	3807	1405
1030	1427	981	1843	1886	1102	1282	1077	1943	2086	1335	1262	1541	1683	2520	1021
3217	3486	2820	6340	5771	3633	3755	2981	5230	5420	4358	4141	5143	6949	7052	2620
761	933	647	1320	812	622	790	625	873	721	927	929	571	703	1580	584
2509	2922	2120	4702	3484	2351	2789	2093	3533	3322	3515	3434	2375	3132	5585	2100
1380	1694	1018	2284	1960	1239	1533	1137	1372	1258	1798	1754	1141	1464	2527	991
1670	2506	1631	3098	3927	2516	2554	2337	4790	4927	2113	2217	2083	2779	4178	1609
733	880	705	1511	1084	743	1080	780	1203	1242	1272	1297	1840	2239	2726	917
589	646	533	1232	558	427	713	524	403	364	1240	1154	436	703	1700	554
1599	1727	1444	3188	6951	4538	2082	1552	4224	4877	2188	1979	1691	2595	4003	1532
871	941	770	1645	1396	987	1093	657	1214	1327	1230	1136	1386	1602	2022	775
0	0	0	0	0	1	2	1	1	0	5	0	4	0	4	3
2	0	1	0	2	0	0	0	0	0	2	0	1	1	2	0
39	35	28	49	19	42	24	13	40	32	33	36	5	6	46	32
0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0
6	6	7	30	8	2	14	9	13	5	3	9	1	2	12	2
1104	1064	1014	2034	1617	1109	1109	953	1310	1378	1551	1411	507	847	2627	1063
277	265	178	446	289	211	265	242	325	307	362	388	162	239	512	186
0	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0
265	256	231	438	422	243	271	235	368	435	377	404	361	534	622	269
31	39	24	63	60	52	48	24	33	63	55	68	14	36	76	17
618	628	453	1050	765	485	647	560	823	764	796	873	251	342	1272	428
57	45	38	126	81	31	60	40	121	101	31	42	25	27	125	31
3063	3007	2542	5284	2949	1755	2662	2033	3994	4213	3502	3273	3717	4458	6330	2470
7	30	5	19	9	7	10	9	14	19	10	13	2	3	15	11
1363	1426	1106	2425	438	373	1337	939	775	566	2317	2648	403	566	2670	1005
548	618	518	1245	980	666	669	516	776	721	777	786	374	519	1385	477
2	9	3	9	15	4	0	3	4	5	3	7	0	2	6	5
198	194	174	285	244	159	146	124	265	207	200	178	184	243	385	148
1307	1412	1115	2450	2755	1798	1906	1536	3686	4374	1809	1724	1001	1496	2868	907
2045	2362	1819	3990	6187	4266	2382	1997	3587	3537	3299	3447	1376	1930	4509	1612
6338	8372	5917	11595	5721	3687	6313	4672	2913	2362	8901	8720	5130	7445	15552	6598
509	617	513	967	694	462	648	469	732	900	786	710	476	668	1376	484
2599	3060	2329	4622	3367	2137	2850	2218	3080	3032	3374	3278	1877	3058	5671	2168
20	47	34	63	38	32	39	32	52	71	39	48	23	21	75	25
18	37	35	64	71	54	45	46	27	43	48	40	14	20	83	25
19082	21951	15972	34793	24917	16682	20558	15814	22375	20720	25335	25712	13611	18182	38113	14699
4017	4338	3968	8356	7228	4117	4596	3448	5038	5601	6217	6183	3667	6003	9613	3305
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	524	379	788	646	407	506	453	618	606	953	1100	349	564	1065	404
1241	1286	1131	2473	1970	1271	1636	1138	1810	1841	1941	1979	1454	1866	4328	1391
52	50	27	54	47	45	55	32	63	46	40	51	78	97	113	42
0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1243	1191	1186	2568	1473	889	1121	852	630	643	1912	1807	568	1081	2964	1174
15908	16815	13153	27082	27407	16384	17073	12247	20349	19077	16130	14888	15283	19302	35372	14414
3017	3267	2433	5617	3007	2234	2861	2199	1472	1190	4522	4768	1462	2443	6711	2395
3705	4800	3348	6749	6160	4358	4426	3401	3464	3154	4629	5160	2058	3547	7895	3094
13	25	21	31	48	36	18	14	38	50	16	7	47	72	52	32
212	283	188	426	378	275	250	243	309	265	297	350	145	181	548	224
1140	1323	1119	2445	2130	1371	1427	1054	2132	2051	1860	1918	1567	1877	3117	1142
686	681	533	1241	873	591	697	573	894	826	757	852	524	706	1485	511
209	224	174	352	441	213	206	175	500	522	332	313	204	274	612	315
494	605	364	897	312	200	404	328	111	102	837	986	284	376	980	356
199	167	175	260	57	68	157	185	118	126	207	189	125	143	272	124
158	167	158	295	291	202	187	126	234	248	230	249	113	167	339	138
412	456	381	680	453	315	563	417	907	786	589	632	201	337	740	344
575	661	465	998	802	618	568	500	758	654	796	795	326	532	1035	450
33	27	25	32	41	13	21	31	18	31	19	29	13	20	41	28
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	3	0	0	0	1	0	0	1	2	0
174	206	164	380	291	146	221	178	296	361	273	264	119	145	472	178
22	30	28	45	54	36	35	46	43	50	40	37	17	31	56	28
243	254	216	568	528	296	344	233	264	311	382	331	198	328	680	213
700	755	612	1431	1104	761	734	562	1039	1058	912	964	742	946	1653	607
0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
39	29	21	28	22	21	31	30	49	36	12	29	10	12	48	27
1919	2395	1639	3849	3589	2196	2284	1958	1662	1641	3080	3403	1478	2304	4652	1844
205	300	163	402	285	142	299	379	342	480	403	381	234	471	723	396
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
444	481	383	780	816	534	538	418	691	718	525	547	201	343	862	329
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5789	6213	5147	9962	5480	3618	5628	4340	6364	7047	8655	9018	7143	8551	14403	5651
1969	2138	1746	3760	2707	1644	2009	1489	1865	1966	2364	2382	1070	1555	4398	1597
1238	1411	1074	2130	1752	1049	1318	1084	1419	1370	1507	1741	674	1029	2479	885
17154	17888	14578	30653	16093	10342	17526	13036	13211	12780	21109	23250	7759	11386	32491	11383
1381	1543	1293	2662	2309	1365	1570	1310	1679	1662	1672	1945	823	1152	3083	1098
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
867	906	663	1708	1432	823	936	762	980	1048	1385	1307	1069	1324	2268	874
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275	324	248	451	697	441	315	253	296	233	364	407	247	232	614	198
4710	5395	3949	8200	10603	6567	5214	4005	6210	6033	5823	5929	6366	8216	9251	3747
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
509	629	505	1003	829	539	574	472	574	552	857	730	485	748	1272	486
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	4	3	4	1	8	3	3	4	5	2	2	4	0	4	0
135	123	96	238	145	103	131	86	286	256	87	138	24	50	327	61
420	466	364	919	866	516	544	439	638	622	643	602	472	748	978	363
1153	1162	908	1848	1517	1065	1174	867	1223	1189	1388	1438	1045	1460	2078	804
424	519	386	844	698	472	456	371	510	528	560	647	574	819	846	345
925	994	887	1897	3705	2150	1041	842	2231	2626	1726	1375	3479	3652	2375	1049
8	13	8	15	10	3	15	4	35	27	17	8	3	5	28	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
385	458	336	767	1168	636	478	346	663	727	546	572	1115	1187	939	358
28	25	32	74	47	35	46	37	102	97	62	67	6	4	86	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
296	299	212	570	307	187	285	265	304	303	387	423	254	267	567	212
557	642	417	1043	895	638	573	483	563	649	760	655	752	1105	1315	519
877	1011	764	1466	779	496	866	688	361	320	1776	2063	416	622	1411	711
1500	1639	1269	2586	2776	1648	1624	1211	1943	2001	1978	1877	1303	1772	2770	1021
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	2128	1773	4191	3267	2050	2243	1736	2579	2910	3215	2825	1461	2236	5085	1983
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5206	5505	4486	9437	7054	4704	5236	3972	5585	5817	6187	6415	3385	5072	10241	3906
133	139	151	263	209	117	186	102	216	231	184	186	49	77	313	91
439	466	452	992	913	591	543	460	992	970	689	727	489	673	1180	415
1081	1050	923	2004	1565	929	1159	868	1639	1542	1409	1450	891	1215	2442	920
967	1113	823	1733	2227	1408	1115	910	1497	1540	1238	1311	584	817	2193	816
1054	1019	802	1852	1524	997	1020	906	1488	1519	1391	1521	1120	1381	2111	944
247	229	246	659	391	236	300	239	338	341	413	364	321	453	783	291
1013	1190	899	2065	1530	996	1241	836	1620	1512	1360	1533	1078	1342	2253	815
13491	15455	11105	24839	22269	14623	15306	11336	26513	27422	16156	15284	11699	14660	27586	10418
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	143	85	227	123	83	205	228	409	439	226	217	29	56	367	111
41	56	59	84	55	24	45	50	48	60	62	71	24	52	93	44
1467	1479	1275	3032	2348	1455	1555	1311	1742	1965	2019	1605	1421	2237	3849	1297
960	1224	861	1754	1276	837	1059	882	1330	1377	1176	1142	656	938	1722	682
464	551	422	937	495	329	571	381	429	419	509	636	145	243	824	232
0	2	0	1	1	0	0	1	0	0	0	5	0	0	0	2
17	15	8	20	23	6	15	18	18	8	14	14	1	17	19	3
2022	2189	1836	4132	3020	1922	2416	2108	1478	1528	3992	4079	2070	3351	5264	1842
2195	2559	1980	3773	3182	2069	2598	2129	3497	3260	2889	3148	1809	2349	4580	1783
8685	9679	7636	15728	11289	7514	9781	7143	13344	12904	10830	11103	7840	9793	17217	6341
1049	1087	877	2018	1480	993	1190	930	1335	1330	1314	1424	670	1061	2320	842
155	169	117	242	184	84	165	116	163	171	139	181	123	135	215	82
10	8	7	13	11	10	12	6	16	41	5	9	13	8	14	2
1765	2148	1441	2921	2399	1687	2182	1720	2597	2437	2562	2615	2306	2916	4513	1752
210	210	138	309	374	276	198	103	168	165	217	177	214	206	225	124
902	1126	817	1688	1385	981	1107	868	1553	1528	930	1123	391	590	1847	757
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
345	388	368	647	562	345	419	317	475	479	587	520	295	324	960	365
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	2	0	2	0	0	0	1	0	0	0	0	0
0	0	0	0	0	2	0	1	0	0	2	0	0	0	4	1
911	1124	912	1819	1413	867	1049	861	1094	1068	1419	1441	988	1420	2374	782
353	349	412	890	1093	579	434	389	457	580	637	627	360	625	1096	417
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0
1666	1966	1594	3125	1959	1299	1829	1485	1574	1591	2174	2409	844	1460	3577	1279
746	775	600	1468	1255	810	786	743	864	967	1236	1452	516	877	1998	711
612	640	538	1119	909	624	641	466	678	684	811	899	517	792	1409	486
2	1	1	9	10	5	3	0	4	6	6	5	1	2	9	6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	4	2	0	0	0	0	1	0
1045	1473	970	2009	1848	1232	1242	1043	1666	1624	1753	1715	1670	1998	2840	1141
100	164	95	188	118	68	128	125	136	127	135	142	44	72	215	67
0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	1
3	2	2	3	2	0	0	0	1	1	3	2	1	1	2	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
721	763	596	1278	846	570	994	845	1511	1573	1037	960	398	541	1869	732
733	761	680	1417	1194	835	774	724	973	952	1106	1127	679	867	1733	677
537	585	473	992	1304	918	631	595	933	843	702	803	392	655	1145	413
398	431	359	765	614	368	379	339	548	569	539	574	451	568	979	388
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	4	8	9	12	0	3	2	1	1	4	3	6	1	7	25
421	478	398	843	798	588	612	530	1539	1414	568	614	97	163	776	320
2636	2718	2429	5364	2781	1843	2615	2183	2695	2675	3085	3212	1339	2149	5691	2067
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	126	68	195	76	62	72	75	70	70	93	121	28	54	176	82
476	537	516	974	956	528	519	352	548	513	721	630	581	964	1223	380
26	23	19	45	43	23	32	22	32	34	42	27	33	41	110	50
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1342	1312	1111	2443	1866	1205	1337	1050	1409	1323	1630	1659	918	1294	2658	1001
262	282	249	528	508	324	307	174	442	444	472	408	559	708	783	269
567	717	504	1276	846	588	716	627	921	871	1008	943	460	609	1861	744
153	191	113	350	214	141	164	150	195	184	189	230	99	199	323	128
70	65	53	149	57	26	64	67	91	69	121	96	124	144	142	75
91	94	71	191	268	115	130	105	177	189	161	145	103	168	306	106
32	36	21	59	57	28	48	36	36	48	35	21	7	4	56	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214	203	183	432	331	182	211	186	294	297	328	343	149	246	566	148
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483	574	443	1022	872	533	594	441	792	761	695	724	413	571	1210	493
2383	2647	2157	4695	6279	4179	2534	2542	3017	3135	3400	3835	3019	4003	6275	2520
14	31	26	58	78	47	18	39	18	30	38	39	28	62	81	30
5537	5541	5326	10944	8502	5134	5976	4601	5625	6212	7215	6770	4447	6113	13358	4845
244	268	253	466	331	263	272	196	393	367	384	401	243	335	553	214
15	28	14	24	26	18	25	14	27	21	26	33	12	31	26	14
530	597	482	1038	1048	627	634	568	921	909	972	896	538	658	1378	535
1220	1295	977	2227	4769	2809	2179	1682	6055	6933	2322	2212	979	1325	4894	1604
4	0	2	0	0	3	5	0	4	4	1	1	3	1	1	0
559	677	493	1135	931	613	641	531	698	715	842	894	469	597	1446	549
4	4	5	12	11	1	8	5	12	5	6	12	1	0	24	4
1	0	0	0	9	3	3	2	9	2	4	3	59	37	6	3
65	72	68	162	162	129	57	48	100	73	109	84	68	62	213	72
182	198	146	280	193	154	153	135	142	175	233	250	172	265	375	146
3592	4508	3202	6094	5278	3372	3792	2871	2944	3192	4753	4210	2891	4227	8456	3660
0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
124	140	101	198	171	104	113	98	112	116	133	98	89	107	267	103
0	0	0	1	0	0	2	0	0	2	0	0	5	2	0	0
34	24	18	51	60	49	45	48	94	77	39	36	34	26	84	34
2223	2425	1935	4403	4156	2776	2635	2261	3198	3423	3295	3142	1616	2555	5768	2155
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3061	3321	2722	5994	4873	3169	3386	2578	4668	4930	4655	4552	2297	3208	7741	2795
1714	1833	1411	3251	3006	1952	1817	1445	2931	2918	2344	2413	1731	2360	3637	1371
1786	1924	1694	3364	3458	1978	2213	1706	3286	3144	2856	2572	1104	1924	4942	1675
959	1047	913	1920	1476	997	1131	821	1280	1251	1344	1479	1191	1415	2025	703
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
571	554	478	1119	1213	763	571	559	857	788	724	873	468	598	1190	402
562	661	494	1031	818	537	569	437	709	677	720	728	657	781	1173	480
5	4	6	20	5	7	19	5	10	3	15	13	2	0	21	6
107	124	98	161	128	59	116	121	241	224	82	65	24	34	237	93
897	864	722	1742	1326	941	843	813	1131	1189	1314	1310	471	769	2195	701
1558	1772	1307	2957	2742	1818	1732	1310	1723	1733	2408	2414	942	1403	3568	1202
93	128	62	207	137	82	113	85	161	181	146	137	75	104	311	50
6409	7622	5473	11900	5198	3975	6290	5481	4737	4500	8026	8633	2692	4377	15606	5864
2	0	0	0	6	1	1	0	0	0	0	0	0	0	1	0
418	405	319	712	750	489	486	365	572	560	495	527	322	429	839	318
0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
35	32	25	55	197	82	36	34	38	43	52	31	23	40	97	40
113	142	103	185	60	53	129	126	116	101	233	244	276	300	475	152
949	1132	841	1689	1000	678	1183	1007	1239	1187	1732	1660	693	1030	2693	1096
0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
109	167	102	233	235	131	157	117	226	258	206	166	192	285	342	134
265	253	201	477	290	189	255	180	334	335	434	332	298	419	553	182
115	112	97	190	119	75	101	91	124	138	155	158	124	168	252	105
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	2	1	1	0	3	0	1	0	0	0	0	0	1	0
1	4	0	1	4	1	1	1	3	1	5	1	2	1	3	2
912	995	796	1757	1225	799	874	789	980	923	1296	1128	453	796	2102	719
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
361	438	373	746	708	436	446	391	824	889	680	634	722	783	1015	404
237	260	221	493	1061	545	338	272	455	511	462	402	94	146	542	214
0	0	1	6	68	57	0	2	5	0	0	0	0	0	0	0
1368	1409	1146	2648	2493	1655	1503	1245	2491	2718	2271	1915	1420	2048	3743	1421
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3	0	4	0	7	5	4	0	0	0	1	9	2	1	2	0
726	710	623	1527	1281	803	837	695	995	1080	1077	1052	479	795	1701	556
406	428	304	778	652	381	439	385	601	531	504	497	333	522	998	465
2555	2688	2220	4657	2642	1874	2732	1986	1674	1372	2914	2981	288	438	4631	1749
3910	4226	3318	7201	3418	2203	3964	3273	3366	3200	4772	4946	766	1277	7850	2847
928	1079	835	1728	1103	735	975	831	1574	1505	1087	1085	480	738	2335	765
12049	11716	11538	26519	40859	25975	32034	25198	46018	47965	15777	14814	5734	8551	27759	11177
8	5	2	14	46	30	47	29	301	251	10	12	6	7	12	5
1073	1337	916	2012	1297	892	1178	921	1106	1024	1527	1526	396	556	2331	848
340	408	297	581	563	342	361	334	531	562	545	568	350	439	824	370
5904	6697	4920	10968	10599	6896	7065	5543	10071	9939	7632	7892	7001	9024	12312	4580
2732	2731	2430	5348	4379	2657	2955	2287	3757	4289	3583	3361	1480	2404	5522	2103
0	3	0	3	0	0	0	2	6	0	3	1	5	0	3	4
259	267	203	476	343	275	284	205	324	280	349	355	173	198	594	192
2	1	1	0	0	0	0	0	0	0	4	0	0	1	2	4
284	325	227	415	496	284	323	260	309	352	373	355	150	195	638	219
0	0	0	0	14	9	1	0	5	6	0	0	5	2	0	0
2048	2270	2003	3982	4074	2229	2502	1959	3106	3397	3042	2999	2982	4651	4584	1780
585	630	554	1142	5449	3232	742	542	715	720	975	895	178	331	1265	474
1293	1268	1133	2561	2023	1336	1484	1149	1643	1632	1877	1878	950	1511	3075	1235
446	475	370	745	825	509	450	339	662	717	530	657	271	304	914	248
193	161	161	323	266	161	183	162	240	244	191	253	114	208	459	154
190	221	191	432	402	262	293	218	339	382	387	412	284	372	635	253
389	383	324	613	460	360	482	303	573	574	442	469	209	353	831	343
6735	7027	5861	12377	9849	5773	7643	6367	8793	9556	9159	8986	10623	13295	15919	6550
32	18	38	45	459	289	57	60	261	356	51	24	53	80	40	19
118	126	93	253	133	84	121	110	91	124	196	203	37	57	283	95
21	28	18	29	39	12	15	27	19	23	35	40	16	38	43	23
2728	3095	2627	5710	3633	2314	2631	2377	3041	3056	3582	3144	1599	2640	6353	2560
213	205	199	399	844	493	236	227	316	412	314	379	255	351	530	219
301	405	314	733	529	319	352	317	322	347	697	601	297	386	1010	340
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3057	3774	2720	5760	7518	4984	3625	2617	4609	4112	4830	4926	2277	2836	6790	2703
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	153	89	280	128	91	143	107	99	96	215	250	86	133	290	106
50	44	30	73	11	18	45	40	34	27	57	56	22	32	98	48
592	743	506	998	894	565	721	505	837	839	842	864	493	584	1704	703
1837	2054	1489	2991	1732	1074	1839	1380	1587	1448	2001	1926	1252	1753	3221	1239
59	51	40	71	79	45	69	41	55	85	84	68	13	29	125	49
1667	1761	1495	3285	2889	1736	1936	1571	2281	2337	2822	2684	1749	2375	4239	1697
0	0	1	2	0	3	1	0	1	4	0	2	1	0	3	0
5	2	0	1	0	0	1	2	0	0	3	0	2	0	0	0
1	0	2	0	10	5	0	0	1	5	0	0	0	1	0	0
209	265	222	404	290	193	220	184	190	198	319	285	173	254	481	169
5	1	0	1	0	0	0	0	0	0	0	0	0	6	0	0
620	681	488	1078	796	411	643	433	807	733	619	528	259	377	1334	456
298	354	260	544	494	368	351	247	471	494	554	446	945	1058	705	299
1098	1247	920	2130	1793	1188	1143	1027	1575	1702	1474	1604	1134	1484	2646	967
399	450	326	730	560	427	425	341	520	531	517	567	327	532	887	316
167	182	133	315	198	122	166	173	127	132	191	246	139	217	284	84
12	9	20	15	13	2	15	8	15	25	17	19	17	15	59	25
694	860	650	1434	1159	720	963	744	919	896	1070	1031	449	756	2119	767
719	821	596	1370	794	572	812	620	942	912	1022	1013	418	628	1376	535
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	5	3	5	6	1	5	1	12	1	9	6	0	3	12	2
775	1165	731	1560	1348	769	1019	789	1216	1181	1189	1152	902	1153	2571	1014
615	896	571	1121	1053	726	807	727	1035	998	991	982	413	680	1519	595
1295	1589	1103	2223	1886	1295	1355	1061	1380	1254	1599	1647	1120	1525	2469	1017
787	908	772	1495	2017	1321	860	636	993	964	936	983	767	1086	1702	668
752	809	705	1460	1254	720	883	727	1228	1230	1018	1041	645	923	1844	703
1747	1901	1444	3312	2796	1886	1964	1494	2269	2394	2287	2138	1974	2620	3545	1353
2218	2172	1937	4653	3703	2197	2162	1672	2172	2540	3181	2989	1939	2874	5271	1953
468	447	338	788	1373	896	609	571	1542	1596	556	576	544	767	971	441
1385	1306	1290	2695	2411	1429	1583	1274	1960	2069	2135	2201	1686	2357	3893	1455
23	7	24	36	27	28	20	21	31	20	14	10	10	19	21	15
4668	5897	4020	8136	6513	4190	5263	4280	5285	5563	7125	7664	9301	11335	12735	5039
735	673	591	1314	1081	804	714	622	1190	1182	1048	1117	648	900	1636	604
4	4	5	7	11	2	15	3	13	25	1	1	3	1	9	6
1768	2071	1512	2874	2612	1551	1985	1409	2369	1974	2235	2239	755	1097	3468	1200
1	0	0	3	1	0	1	2	3	0	1	0	0	1	0	0
478	543	416	854	759	502	515	439	813	809	606	606	436	444	986	385
28	29	25	42	20	11	22	10	6	19	28	27	12	17	50	22
1672	2080	1417	3792	3306	1916	2357	1606	3212	3959	2252	1877	1528	1933	7308	2483
2	4	5	1	16	10	5	2	30	67	8	0	1	6	2	2
2342	3298	1969	3818	3365	2232	2797	2806	2934	2687	3497	3757	2300	3781	6186	2763
0	0	1	0	1	1	0	0	0	1	8	1	2	0	4	3
28	19	9	21	14	11	20	9	11	17	12	21	0	14	73	9
3	1	0	2	0	6	2	0	1	3	1	2	0	1	8	0
3	3	1	3	1	5	0	4	3	3	1	0	0	2	0	0
1	0	0	0	0	2	5	0	0	2	2	0	1	0	0	0
1833	1970	1758	3979	3095	1873	2073	1640	2638	2916	2679	2643	1256	1949	5160	1712
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
863	795	678	1438	1018	701	906	661	1113	1070	1005	1038	577	829	1523	600
622	618	595	1180	941	581	677	547	794	849	800	786	544	725	1339	492
158	206	128	332	260	158	206	147	365	337	202	199	198	232	356	143
2986	3112	2712	6327	8606	4948	3355	2893	4372	5198	4537	4193	2080	3495	7931	2837
87	83	44	110	46	38	39	59	84	62	75	78	15	44	133	64
3	12	12	8	2	16	5	0	0	3	2	8	4	3	7	435
1474	1919	1412	2810	2189	1483	1859	1642	2008	2035	2411	2353	1665	2505	4499	1705
2250	2170	2036	4298	4482	2932	2992	2127	5104	5192	3342	3331	1936	2819	5494	2074
39730	43328	35317	78796	33946	24432	37656	24962	16589	15125	54246	49553	13182	20971	86668	34861
5508	6398	4614	9761	8987	5672	6091	4709	6427	6702	7000	7083	3461	4501	11098	4269
6	5	4	16	0	2	1	4	12	6	4	8	2	0	6	2
1262	1583	1129	2542	2462	1723	1527	1186	1775	1651	1601	1913	1054	1469	2702	917
1	10	5	9	12	9	8	1	10	7	9	10	7	4	15	10
4512	4834	3863	8701	5851	3727	4868	3713	5285	5231	5740	5506	2766	4050	9913	3512
913	1057	781	1670	1437	904	995	840	1257	1164	1383	1420	992	1450	2192	954
12264	12852	10367	23110	17591	11911	14037	10311	18223	17302	19682	21207	14776	18036	28765	10920
1725	1803	1395	3239	2485	1734	1970	1419	2280	2042	2302	2208	1185	1834	3447	1347
44	44	17	57	54	23	33	32	49	40	46	42	26	23	78	28
84	92	22	226	44	18	138	68	134	177	239	197	263	273	763	246
3	8	2	5	6	1	0	6	1	4	4	2	4	6	1	0
0	1	0	1	4	0	0	0	3	3	2	0	8	3	3	6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	1	3	1	0	7
