S1	S2	S5	S6	S7	S8	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
1121	1477	1015	1796	1836	1191	1339	1171	1437	1341	1482	1651	865	1396	2249	981
312	454	288	675	646	384	440	338	654	719	430	464	432	465	839	327
580	697	553	1159	849	572	609	612	473	384	723	836	245	352	1312	459
0	0	2	2	1	2	0	2	4	4	1	1	3	3	3	2
655	692	546	1160	823	469	785	587	845	782	878	851	555	906	1393	506
3268	4023	2756	5555	4688	3068	3944	3310	4800	4589	4785	5023	3154	3671	8441	3522
375	456	299	558	460	324	440	340	347	347	405	527	47	78	711	254
4	10	8	13	11	14	5	7	3	4	10	6	2	4	10	6
8786	8703	6897	15236	6034	3917	7597	5716	6283	6517	10814	10517	2841	4270	16601	5824
265	279	275	621	371	255	297	226	298	306	472	579	173	295	718	253
120	198	112	213	230	124	231	147	438	347	191	254	218	271	441	162
975	1154	825	1949	1198	740	965	772	1094	978	1297	1270	364	596	2465	945
3167	3272	2821	5793	6032	4371	4425	3167	7072	6860	5569	5638	1438	2287	6194	2314
886	923	736	1627	1333	945	962	790	1209	1427	1207	1226	707	988	2299	805
3122	3766	2667	5102	3165	1934	3292	2614	2533	2363	4799	4698	3786	4873	6164	2392
0	0	0	0	0	0	1	0	0	0	0	2	4	1	0	1
2328	2378	2143	4921	5117	3095	2498	2023	2778	3472	4366	3922	2201	3234	6372	2640
490	511	454	915	755	492	546	450	760	799	733	741	468	734	1016	374
701	792	655	1290	1003	902	622	612	1057	1184	1116	981	453	744	1670	726
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
431	522	294	793	431	290	571	456	833	828	466	580	63	81	906	331
1873	2237	1565	3407	1199	923	1759	1424	1370	1218	2523	2570	371	559	3951	1540
279	446	231	574	480	336	311	320	384	334	430	497	148	224	834	244
1467	1638	1216	2762	2251	1263	1748	1475	2275	2390	2027	2235	1027	1358	4593	1551
12845	13541	11574	24523	16562	9643	13586	10606	11855	12684	16304	14824	8699	13234	28897	10501
3	2	3	9	6	3	10	0	3	3	2	9	6	2	8	6
72	80	54	123	23	30	67	35	27	21	45	70	31	40	135	47
816	977	707	1512	1662	1002	900	574	925	904	1154	1084	736	928	1672	628
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	10	4	9	8	5	10	14	10	9	13	16	18	21	24	14
9	16	7	14	16	2	7	4	10	10	10	11	2	3	13	6
478	594	468	884	438	354	425	360	392	411	516	539	410	564	937	412
37	64	29	71	27	23	49	41	30	28	62	35	6	10	103	41
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
629	796	537	1189	917	601	980	828	1475	1306	1200	1312	530	667	2069	946
0	0	0	0	4	1	2	4	1	0	1	1	3	1	2	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
55	37	42	68	58	52	153	113	680	875	93	101	51	82	109	51
2542	2648	2103	4310	3087	2013	2633	2030	3381	3314	2987	2834	2301	3061	5173	1894
1	8	0	5	0	0	2	0	0	0	2	1	8	1	3	3
118	112	85	179	119	86	118	82	107	106	135	163	167	206	193	81
1289	1651	1076	2108	734	412	2752	2104	9362	10081	1740	1580	740	925	4886	1779
1449	1711	1134	2267	2030	1285	1603	1240	1418	1305	1754	1709	1200	1560	2804	1156
1	0	0	0	5	2	0	0	2	3	0	1	0	0	2	0
4837	6256	4240	8139	4836	3059	6271	4520	5572	5442	7435	7373	8597	11765	15671	6808
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
525	694	474	961	962	574	563	475	799	760	1029	920	558	748	1441	535
523	588	448	950	936	532	596	473	935	1084	787	693	962	1248	1365	525
609	661	540	1162	1041	624	719	561	1270	1209	1039	980	832	1247	1654	777
